,,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/7/2018,10:03:20 AM,23.879,18.029,23.829,23.527,21.299,20.396,28.826,31.259,31.214,30.978
6/7/2018,10:20:00 AM,23.858,17.943,23.787,23.492,21.261,20.339,28.834,31.425,31.379,31.151
6/7/2018,10:36:40 AM,23.827,17.824,23.794,23.479,21.171,20.252,28.835,31.345,31.311,31.072
6/7/2018,10:53:20 AM,23.822,17.73,23.747,23.429,21.096,20.192,28.842,31.39,31.362,31.113
6/7/2018,11:10:00 AM,23.81,17.626,23.724,23.41,21.034,20.104,28.852,31.444,31.422,31.183
6/7/2018,11:26:40 AM,23.772,17.511,23.709,23.39,20.985,20.013,28.86,31.437,31.402,31.163
6/7/2018,11:43:20 AM,23.746,17.429,23.663,23.357,20.937,19.962,28.876,31.568,31.53,31.289
6/7/2018,12:00:00 PM,23.746,17.312,23.651,23.337,20.881,19.862,28.86,31.791,31.877,31.895
6/7/2018,12:16:40 PM,23.658,17.158,23.59,23.26,20.767,19.767,28.867,30.818,30.741,30.623
6/7/2018,12:33:20 PM,23.596,17.058,23.553,23.226,20.69,19.664,28.865,30.372,30.387,30.191
6/7/2018,12:50:00 PM,23.584,16.954,23.498,23.192,20.64,19.606,28.871,30.197,30.232,29.932
6/7/2018,1:06:40 PM,23.541,16.845,23.481,23.114,20.56,19.491,28.875,29.892,29.941,29.634
6/7/2018,1:23:20 PM,23.546,16.748,23.451,23.111,20.504,19.424,28.878,29.717,29.782,29.516
6/7/2018,1:40:00 PM,23.502,16.643,23.437,23.07,20.445,19.361,28.875,29.868,29.922,29.63
6/7/2018,1:56:40 PM,23.469,16.529,23.4,23.009,20.388,19.257,28.879,29.814,29.861,29.633
6/7/2018,2:13:20 PM,23.478,16.455,23.389,23.022,20.332,19.212,28.876,29.642,29.681,29.389
6/7/2018,2:30:00 PM,23.443,16.378,23.357,22.975,20.285,19.134,28.877,30.187,30.262,29.987
6/7/2018,2:46:40 PM,23.42,16.261,23.357,22.968,20.205,19.068,28.875,30.332,30.396,30.117
6/7/2018,3:03:20 PM,23.408,16.178,23.313,22.969,20.171,19.027,28.874,30.547,30.609,30.487
6/7/2018,3:20:00 PM,23.359,16.06,23.279,22.903,20.104,18.936,28.88,30.016,30.081,29.965
6/7/2018,3:36:40 PM,23.314,15.942,23.224,22.84,20.03,18.855,28.871,29.424,29.477,29.138
6/7/2018,3:53:20 PM,23.313,15.849,23.219,22.85,19.977,18.806,28.873,29.356,29.466,29.028
6/7/2018,4:10:00 PM,23.331,15.806,23.245,22.835,19.939,18.744,28.882,30.106,30.196,30.025
6/7/2018,4:26:40 PM,23.274,15.676,23.2,22.809,19.896,18.67,28.88,30.087,30.111,30.041
6/7/2018,4:43:20 PM,23.233,15.578,23.162,22.766,19.812,18.578,28.867,29.157,29.249,28.901
6/7/2018,5:00:00 PM,23.215,15.513,23.127,22.715,19.743,18.518,28.863,28.997,28.977,28.663
6/7/2018,5:16:40 PM,23.186,15.392,23.088,22.68,19.677,18.422,28.854,28.964,29.024,28.677
6/7/2018,5:33:20 PM,23.173,15.311,23.06,22.678,19.623,18.364,28.844,28.745,28.837,28.562
6/7/2018,5:50:00 PM,23.166,15.245,23.031,22.635,19.569,18.306,28.838,28.913,29.034,28.701
6/7/2018,6:06:40 PM,23.12,15.14,23.017,22.625,19.541,18.238,28.842,28.893,28.916,28.588
6/7/2018,6:23:20 PM,23.105,15.091,22.985,22.578,19.45,18.181,28.84,28.81,28.884,28.613
6/7/2018,6:40:00 PM,23.08,14.987,22.974,22.594,19.408,18.103,28.842,28.832,28.921,28.544
6/7/2018,6:56:40 PM,23.072,14.906,22.949,22.559,19.392,18.043,28.837,28.814,28.943,28.579
